product_slug,author_name_ar,city_ar,rating,week_marker,body_ar,is_verified,has_photo,is_seed,sort_order
redensyl-copper-peptide-serum,نورة,الرياض,5,6,"بعد الولادة كان شعري ينسدح بشكل مخيف. أسبوع ٦ والتساقط قل واضح — صرت أشوف شعر أقل بالمصفاة. المفرق ما تغير بعد بس التساقط أهم شي عندي.",TRUE,TRUE,TRUE,1
redensyl-copper-peptide-serum,هند,جدة,5,10,"أنا من النوع اللي يقرأ المكوّنات. عجبني إن التركيز مكتوب. أسبوع ١٠ وبدأت أشوف شعرات قصيرة جديدة عند خط الجبهة.",TRUE,FALSE,TRUE,2
redensyl-copper-peptide-serum,أمل,الدمام,4,8,"نفع معي بصراحة، بس الأسبوعين الأولى كان التساقط زايد وخفت. رجعت قريت كلامهم عن هذي المرحلة وطلع طبيعي. الآن أحسن بكثير.",TRUE,FALSE,TRUE,3
redensyl-copper-peptide-serum,لطيفة,القصيم,5,12,"٣ شهور كاملة. الفرق في الكثافة يبان في الصور، وهذا اللي كنت أبغاه. أهم شي إني ما وقفت.",TRUE,TRUE,TRUE,4
redensyl-copper-peptide-serum,سارة,الرياض,3,4,"لسا بداية عندي، أسبوع ٤ وما لاحظت فرق كبير. أعطيه وقت زي ما قالوا. النقطة الحلوة إنهم ما وعدوني بشي بسرعة.",TRUE,FALSE,TRUE,5
redensyl-copper-peptide-serum,منى,الخبر,5,9,"خفيف على الفروة وما يخلي شعري دهني، وهذي كانت مشكلتي مع كل شي جرّبته قبل.",TRUE,FALSE,TRUE,6
iron-bisglycinate-vitamin-c-tonic,ريم,الرياض,5,8,"طلبت تحليل فيريتين مثل ما نصحوا وطلع ١٤ فقط! وأنا كل التحاليل الثانية طبيعية. الطاقة رجعت أول، والشعر بعدها.",TRUE,FALSE,TRUE,1
iron-bisglycinate-vitamin-c-tonic,أسماء,جدة,5,4,"كل مكمل حديد جرّبته قبل كان يعوّر معدتي. هذا ما صار معي شي. أخذه الصبح على معدة فاضية.",TRUE,FALSE,TRUE,2
iron-bisglycinate-vitamin-c-tonic,فاطمة,مكة,4,12,"الطاقة تحسنت من الشهر الأول. الشعر أخذ وقت أطول — تقريباً شهرين وربع. صبر بس ينفع.",TRUE,FALSE,TRUE,3
iron-bisglycinate-vitamin-c-tonic,دلال,الرياض,5,6,"آخذه مع السيروم. أحسن قرار — كنت أستخدم سيرومات لحالها سنة كاملة بدون نتيجة.",TRUE,TRUE,TRUE,4
salicylic-2-zinc-scalp-exfoliant,شهد,الرياض,5,1,"من أول استخدام! الحكة هدّت والفروة حسّيتها خفيفة. كنت أستخدم زيوت وما أعرف إنها تتراكم كذا.",TRUE,FALSE,TRUE,1
salicylic-2-zinc-scalp-exfoliant,جواهر,الدمام,5,3,"القشور اختفت تقريباً. أستخدمه مرة بالأسبوع قبل الشامبو. صار جزء من روتيني.",TRUE,TRUE,TRUE,2
salicylic-2-zinc-scalp-exfoliant,عبير,جدة,4,2,"حسّيت لسع خفيف أول مرة بس زال. النتيجة تستاهل. أنا عندي إكستنشن والتراكمات كانت مشكلة كبيرة.",TRUE,FALSE,TRUE,3
salicylic-2-zinc-scalp-exfoliant,رهف,أبها,5,4,"استخدمته قبل السيروم مثل ما قالوا، وحسّيت السيروم صار يمتص أسرع. الترتيب فرق فعلاً.",TRUE,FALSE,TRUE,4
